Date,Actual,Predicted,Residual
2024-06-01,14.16,14.17932614269724,-0.0193261426972402
2024-06-08,14.66,14.227796931500546,0.43220306849945445
2024-06-15,14.45,14.20824567541426,0.24175432458573987
2024-06-22,14.59,14.248299037871433,0.3417009621285665
2024-07-01,14.74,14.212021790026911,0.5279782099730888
2024-07-08,14.29,14.165750816212197,0.1242491837878017
2024-07-15,13.72,14.05654826908857,-0.33654826908856883
2024-07-22,13.72,14.115296736076527,-0.39529673607652605
2024-08-01,13.77,14.14439007495759,-0.37439007495759036
2024-08-08,13.64,14.069635148341682,-0.42963514834168137
2024-08-15,13.95,14.170978270135265,-0.22097827013526583
2024-08-22,13.93,14.00388619658748,-0.07388619658748041
2024-09-01,13.36,14.070146408439262,-0.7101464084392628
2024-09-08,13.43,14.005767198633041,-0.5757671986330415
2024-09-15,14.13,14.088001294765544,0.041998705234457034
2024-09-22,13.92,13.78129070531499,0.13870929468500925
2024-10-01,13.78,14.022657335784427,-0.24265733578442727
2024-10-08,14.0,14.05559402468353,-0.05559402468352914
2024-10-15,14.71,14.099631899655032,0.610368100344969
2024-10-22,14.1,14.041311795338213,0.05868820466178626
2024-11-01,13.6,14.175433868962248,-0.5754338689622482
2024-11-08,13.71,14.16539710522911,-0.4553971052291086
2024-11-15,14.13,14.305417139256601,-0.1754171392566004
2024-11-22,14.45,14.178583633957338,0.2714163660426614
2024-12-01,13.83,14.229902600980939,-0.39990260098093877
2024-12-08,14.42,14.281498325312596,0.13850167468740437
2024-12-15,14.34,14.134686222585318,0.20531377741468226
2024-12-22,14.42,14.214333452086944,0.20566654791305616
2025-01-01,13.39,14.121754351889136,-0.7317543518891352
2025-01-08,14.25,14.207962715078787,0.0420372849212125
2025-01-15,13.74,14.201223484524427,-0.4612234845244263
2025-01-22,13.91,14.269832621484976,-0.3598326214849763
2025-02-01,13.69,14.102642248607555,-0.41264224860755583
2025-02-08,13.67,14.225705580407483,-0.5557055804074835
2025-02-15,13.59,14.231265648544614,-0.6412656485446142
2025-02-22,14.02,14.240152322369076,-0.220152322369076
2025-03-01,13.9,14.098982661257004,-0.1989826612570038
2025-03-08,14.06,14.015387205439746,0.0446127945602548
2025-03-15,14.4,14.202959792081293,0.19704020791870747
2025-03-22,14.53,14.098286827359503,0.4317131726404959
2025-04-01,14.03,14.095024231093937,-0.06502423109393796
2025-04-08,13.55,13.989584159523398,-0.43958415952339713
2025-04-15,13.91,14.179070944002762,-0.26907094400276144
2025-04-22,13.53,13.901049589833738,-0.3710495898337385
2025-05-01,13.89,13.845706219813403,0.04429378018659769
2025-05-08,13.31,13.914018837916197,-0.6040188379161968
2025-05-15,13.07,13.811119472059787,-0.7411194720597862
2025-05-22,13.24,14.03612998103773,-0.7961299810377298
2025-06-01,14.28,13.938495428313818,0.34150457168618154
2025-06-08,14.68,13.940448281613584,0.7395517183864158
2025-06-15,14.91,13.885541970330994,1.024458029669006
